Actual,Predicted,nPredictions
Stratasys450mc-2,Stratasys450mc-2,49
Stratasys450mc-2,5200-1,0
Stratasys450mc-2,Stratasys450mc-1,1
Stratasys450mc-2,Stratasys900mc-1,0
Stratasys450mc-2,M2-1,0
Stratasys450mc-2,Form3B-4,0
Stratasys450mc-2,Form3B-2,0
Stratasys450mc-2,Form3B-1,0
Stratasys450mc-2,Form3B-5,0
Stratasys450mc-2,Form3B-6,0
Stratasys450mc-2,Form3B-3,0
Stratasys450mc-2,4200-1,0
Stratasys450mc-2,5200-2,0
Stratasys450mc-2,L1-2,0
Stratasys450mc-2,L1-1,0
Stratasys450mc-2,M2-2,0
Stratasys450mc-2,M2-3,0
Stratasys450mc-2,M2-4,0
Stratasys450mc-2,M2-5,0
Stratasys450mc-2,Stratasys900mc-2,0
Stratasys450mc-2,M2-6,0
5200-1,Stratasys450mc-2,0
5200-1,5200-1,50
5200-1,Stratasys450mc-1,0
5200-1,Stratasys900mc-1,0
5200-1,M2-1,0
5200-1,Form3B-4,0
5200-1,Form3B-2,0
5200-1,Form3B-1,0
5200-1,Form3B-5,0
5200-1,Form3B-6,0
5200-1,Form3B-3,0
5200-1,4200-1,0
5200-1,5200-2,0
5200-1,L1-2,0
5200-1,L1-1,0
5200-1,M2-2,0
5200-1,M2-3,0
5200-1,M2-4,0
5200-1,M2-5,0
5200-1,Stratasys900mc-2,0
5200-1,M2-6,0
Stratasys450mc-1,Stratasys450mc-2,0
Stratasys450mc-1,5200-1,0
Stratasys450mc-1,Stratasys450mc-1,50
Stratasys450mc-1,Stratasys900mc-1,0
Stratasys450mc-1,M2-1,0
Stratasys450mc-1,Form3B-4,0
Stratasys450mc-1,Form3B-2,0
Stratasys450mc-1,Form3B-1,0
Stratasys450mc-1,Form3B-5,0
Stratasys450mc-1,Form3B-6,0
Stratasys450mc-1,Form3B-3,0
Stratasys450mc-1,4200-1,0
Stratasys450mc-1,5200-2,0
Stratasys450mc-1,L1-2,0
Stratasys450mc-1,L1-1,0
Stratasys450mc-1,M2-2,0
Stratasys450mc-1,M2-3,0
Stratasys450mc-1,M2-4,0
Stratasys450mc-1,M2-5,0
Stratasys450mc-1,Stratasys900mc-2,0
Stratasys450mc-1,M2-6,0
