,img,label,pred
0,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
1,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
2,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,2.0
3,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,2.0
4,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
5,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,3.0
6,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
7,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
8,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
9,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
10,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
11,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
12,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
13,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
14,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
15,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\003_loc20_FaceScan.png,0.0,0.0
16,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
17,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
18,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,2.0
19,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
20,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
21,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,2.0
22,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
23,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
24,C:/Users/bimrose2/UIUC/UIUC_Connector_Data/Data/efficiency/printer_22_efficiency_100\val\00\004_loc16_FaceScan.png,0.0,0.0
